words,808s & Heartbreak,Graduation,JESUS IS KING,Late Registration,My Beautiful Dark Twisted Fantasy,The College Dropout,The Life of Pablo,Yeezus,ye
breezy,0,1,0,0,0,0,0,0,0
brenda,0,0,0,0,0,0,0,1,0
brewski,0,1,0,0,0,0,0,0,0
brian,0,1,0,0,0,0,0,0,0
brick,0,0,0,0,0,1,0,0,0
bride,0,0,0,0,1,0,0,0,0
bridesmaid,0,1,0,0,1,0,0,0,0
bright,0,2,2,0,2,0,0,0,1
brightest,0,0,2,0,1,0,0,0,0
brights,0,0,2,0,0,0,0,0,0
bring,1,1,0,4,0,6,3,3,3
bringin,1,0,0,0,0,0,0,0,1
brings,0,0,0,1,0,0,0,0,0
brion,0,0,0,10,0,0,0,0,0
britches,0,0,0,0,1,0,0,0,0
bro,0,0,0,0,0,0,1,0,0
broad,0,0,0,0,0,2,1,0,0
broady,0,0,0,0,0,0,0,1,0
brodinski,0,0,0,0,0,0,0,1,0
broke,0,1,0,10,2,3,2,1,1
broken,0,0,0,0,2,0,0,0,0
bronfman,0,0,0,0,0,0,0,1,0
brooklyn,0,0,0,1,0,0,0,0,0
brothas,0,0,0,1,0,0,0,0,0
brother,0,1,6,3,3,2,3,0,0
brought,0,1,2,5,1,4,0,1,0
brow,0,0,0,0,0,1,0,0,0
brown,0,1,0,0,2,0,1,1,0
brownskinned,0,0,0,1,0,0,0,0,0
bruise,0,0,2,0,0,0,0,0,0
bruised,0,0,0,0,1,0,0,0,0
bu,0,0,0,0,0,0,1,0,0
bubba,0,0,0,0,0,1,0,0,0
bubble,0,0,0,1,0,0,0,0,0
bubbling,0,0,0,0,1,0,0,0,0
bubbly,0,0,0,0,0,1,0,0,0
buck,0,0,0,0,0,1,0,0,0
bucket,0,0,0,0,0,1,0,0,0
buckfiftys,0,0,0,1,0,0,0,0,0
buckwheatass,0,0,0,0,0,0,0,0,1
buddhist,0,0,0,0,0,0,1,0,0
buddy,0,0,0,0,0,2,1,0,0
budget,0,0,0,0,0,0,1,0,0
buffet,0,0,0,1,0,0,0,0,0
bugah,0,0,0,0,0,0,0,1,0
bugatti,0,0,0,0,0,0,1,0,0
build,0,0,0,2,1,0,0,0,1
building,0,0,0,2,1,1,0,0,0
built,0,0,0,0,0,3,0,0,0
bulimic,0,0,0,1,0,1,0,0,0
bull,0,0,0,2,0,0,0,0,0
bulletproof,0,0,0,0,0,0,1,0,0
bullion,0,0,0,1,0,0,0,0,0
bullshit,0,1,0,1,1,1,0,1,0
bullshittin,0,0,0,1,0,0,0,0,0
bump,0,0,0,0,0,1,0,0,0
bumped,0,0,0,0,1,0,0,0,0
bumpin,0,0,0,0,0,1,0,0,0
bumtubumbumbum,0,1,0,0,0,0,0,0,0
bunb,0,0,0,0,0,1,0,0,0
bunch,0,0,0,0,0,1,1,0,0
buncha,0,0,0,1,0,0,0,0,0
bundle,0,0,0,1,0,0,0,0,0
buried,0,1,0,0,1,0,0,0,0
buriedsuck,0,1,0,0,0,0,0,0,0
burn,0,0,0,1,1,0,1,0,0
burned,0,0,0,0,0,0,1,0,0
burner,0,0,0,0,0,1,0,0,0
burning,0,0,0,0,1,0,1,0,1
burnt,0,0,0,0,0,1,0,0,0
buryin,0,0,0,0,0,0,1,0,0
bus,0,0,0,0,0,2,0,0,0
bush,0,0,0,1,0,0,0,0,0
business,0,0,0,1,0,2,2,0,0
businessman,0,0,0,1,0,0,0,0,0
bust,0,0,2,1,0,0,1,1,0
busta,0,0,0,1,0,1,0,0,0
buster,0,0,0,0,0,1,0,0,0
bustin,0,0,0,0,0,0,0,0,1
busy,0,0,0,0,0,0,1,0,0
buttassnaked,0,0,0,0,1,0,0,0,0
butterfly,0,0,0,0,0,0,0,0,1
butterworth,0,0,0,1,0,0,0,0,0
button,0,0,2,0,0,0,0,0,0
buy,1,3,0,2,3,4,1,2,0
buyin,0,0,0,0,1,0,1,0,0
buzz,0,0,0,1,0,1,0,0,0
byanymeans,0,0,0,0,0,0,0,1,0
bye,0,1,0,0,0,1,0,0,1
cab,1,0,0,1,0,1,0,0,0
cache,0,0,0,0,0,0,0,0,1
caddy,0,0,0,0,0,1,0,0,0
caesar,0,1,0,1,0,0,0,0,0
cage,0,0,0,0,0,0,1,0,0
cajun,0,1,0,0,0,0,0,0,0
cake,1,0,0,1,0,1,0,0,0
calculate,0,0,0,1,0,0,0,0,0
calgon,0,0,0,1,0,0,0,0,0
cali,0,0,0,1,0,0,0,0,0
call,3,2,4,3,6,5,6,4,2
called,0,0,2,1,2,4,2,0,1
callin,0,1,0,1,1,1,1,1,1
calling,0,1,0,1,1,0,1,0,0
calm,0,0,0,1,0,2,0,0,2
calumet,0,0,0,1,0,0,0,0,0
cam,0,1,0,2,0,1,2,0,0
camera,1,1,2,0,2,0,2,0,0
campbell,0,0,0,1,0,0,0,0,1
campus,0,0,0,0,0,2,0,0,0
camron,0,0,0,1,0,0,0,0,0
canary,0,0,0,1,0,0,0,0,0
cancel,0,0,0,0,0,0,1,0,0
cancun,0,0,0,0,0,1,0,0,0
candice,0,0,0,0,0,1,0,0,0
candy,0,0,0,1,0,1,2,0,0
candycoated,0,0,0,1,0,0,0,0,0
candyman,0,0,0,0,0,1,0,0,0
cannabis,0,0,0,0,0,1,0,0,0
cannonball,0,0,0,0,1,0,0,0,0
cap,0,0,0,0,0,0,0,0,1
capable,0,0,0,1,0,0,0,0,0
cape,0,0,0,0,0,0,0,0,1
capelton,0,0,0,0,0,0,0,1,0
capitalize,0,0,0,1,0,0,0,0,0
capitol,0,0,0,0,0,1,0,0,0
capn,0,0,0,0,0,0,1,0,0
caprice,0,0,0,1,0,0,0,0,0
capricorn,0,0,0,0,0,0,0,1,0
capsule,0,0,0,0,0,1,0,0,0
captain,0,0,0,1,0,0,0,0,0
captive,0,0,2,0,0,0,0,0,0
car,1,3,0,8,4,8,5,1,0
card,1,1,0,0,2,1,1,0,0
care,0,0,0,2,2,3,2,0,1
cared,0,1,0,0,0,0,0,0,0
career,0,2,0,1,1,1,0,0,0
careless,0,0,0,0,0,0,0,1,0
caren,0,0,0,0,1,0,0,0,0
carline,0,1,0,0,0,0,0,0,0
carlos,0,0,0,0,0,0,0,1,0
carnage,0,0,0,0,1,0,0,0,0
caroline,0,0,0,0,0,0,1,0,0
carryin,0,0,0,1,0,0,1,0,0
carter,0,0,0,1,0,0,0,0,0
carti,0,0,0,0,0,1,0,0,0
cartoon,0,0,0,0,0,0,0,1,0
carurr,0,0,0,0,0,1,0,0,0
casa,0,0,0,0,0,0,0,1,0
case,0,0,0,0,0,2,0,0,1
cash,0,1,0,2,2,3,1,1,0
cashflow,0,0,0,0,1,0,0,0,0
cashless,0,0,0,1,0,0,0,0,0
cashmere,0,0,0,0,0,0,1,0,0
casket,0,1,0,0,0,0,0,0,0
cast,0,0,0,0,1,0,0,0,0
casually,0,0,0,0,1,0,0,0,0
casualty,0,0,0,0,1,0,0,0,0
cat,0,0,0,1,1,1,1,0,0
catastrophe,0,0,0,0,0,1,0,0,0
catch,1,1,0,3,0,5,0,0,0
catchin,0,0,0,0,1,0,0,0,0
catching,0,0,0,1,1,0,0,0,0
caterpillar,0,0,0,1,0,0,0,0,0
catholic,0,0,0,0,0,1,0,1,0
caught,0,1,2,3,2,2,0,0,2
cavalier,0,0,0,0,0,1,0,0,0
cave,0,0,0,0,0,0,1,0,0
caved,0,0,0,0,0,1,0,0,0
cb,0,0,0,0,0,0,0,0,1
cca,0,0,0,0,0,0,0,1,0
cd,0,1,0,2,0,1,0,0,0
ceiling,0,0,0,1,0,0,0,0,0
celebrate,0,0,0,0,1,0,1,0,0
celebration,0,0,0,1,0,0,0,0,0
celine,0,0,0,0,1,0,0,0,0
cell,1,0,0,1,0,0,0,0,0
cemented,1,0,0,0,0,0,0,0,0
cent,0,0,0,0,0,1,0,0,0
century,0,0,0,0,3,0,1,0,1
cept,0,1,0,0,0,1,0,0,0
cereal,0,0,0,1,0,0,1,0,0
cerebellum,0,0,0,1,0,0,0,0,0
cest,0,0,0,0,0,0,0,1,0
chain,0,4,0,4,3,4,1,1,0
chainz,0,0,0,0,0,0,1,0,0
chaka,0,0,0,0,0,1,0,0,0
champ,0,0,0,0,0,1,0,0,0
champagne,0,2,0,0,2,1,0,2,0
champion,0,1,0,0,0,1,0,0,0
chance,0,2,2,0,1,1,3,0,0
chanel,0,0,0,0,1,0,0,0,0
change,0,2,2,4,0,4,0,0,0
changed,0,3,0,0,1,3,0,1,0
changing,1,0,0,0,0,0,0,0,0
channel,1,0,0,0,0,0,0,0,0
chano,0,0,0,0,0,0,1,0,0
character,0,0,0,0,1,0,0,0,0
characteristic,0,0,0,0,1,0,0,0,0
charge,0,0,2,1,0,1,0,1,1
chariot,0,0,0,0,1,1,0,0,0
charles,0,1,0,0,0,0,0,0,0
charlie,0,0,0,0,2,0,3,1,1
charm,0,0,0,2,0,1,0,0,0
chart,0,0,0,0,0,2,0,0,0
chase,0,0,0,0,1,0,0,0,0
chased,1,0,0,0,0,0,0,0,0
chaser,0,0,0,1,0,0,0,0,0
chasin,1,0,2,0,1,0,0,1,0
chasing,0,0,0,0,0,1,0,0,0
chat,0,0,0,0,0,1,0,0,0
chatham,0,0,0,0,0,0,1,0,0
chauffeur,0,0,2,0,0,0,0,0,0
chauncey,0,1,0,0,0,0,0,0,0
che,0,0,0,0,0,0,0,2,0
cheapass,0,0,0,1,0,0,0,0,0
cheated,0,1,0,1,0,0,0,0,0
cheatin,0,0,0,1,0,0,0,0,0
cheating,0,0,0,0,0,0,1,0,0
check,1,1,0,1,1,4,4,0,0
checkbook,0,0,0,0,0,0,1,0,0
checkin,1,0,0,0,0,0,2,0,0
checking,1,0,0,0,0,0,1,0,0
checkwasnt,0,0,0,0,0,1,0,0,0
cheek,0,0,0,0,0,0,1,0,0
cheerio,0,0,0,0,1,0,0,0,0
cheerleader,0,0,0,0,0,1,0,0,0
cheese,0,1,0,0,1,0,0,0,0
cheesecake,0,0,0,0,1,1,0,0,0
chemical,0,0,0,1,0,0,0,0,0
cherryred,0,0,0,0,1,0,0,0,0
chest,0,0,0,0,0,1,1,0,0
chew,0,0,0,1,1,0,0,0,0
chewbacca,0,0,0,0,0,0,0,1,0
chi,0,2,0,5,1,7,0,0,0
chicago,0,2,0,0,1,1,2,1,0
chick,0,0,0,3,3,2,0,0,0
chicken,0,0,0,1,0,0,0,0,0
chickfila,0,0,2,0,0,0,0,0,0
chief,0,0,2,0,0,0,0,2,0
child,0,1,0,4,5,1,4,0,1
childlike,0,0,0,0,1,0,0,0,0
chill,0,0,0,1,0,0,0,1,0
chillin,0,0,0,0,0,1,0,1,0
chilrn,0,0,0,1,0,0,0,0,0
chimped,0,0,0,0,0,1,0,0,0
chin,0,0,0,0,0,1,0,0,0
china,0,0,0,0,1,0,0,0,0
chinchilla,0,0,0,1,0,0,0,0,0
chip,0,0,0,0,0,1,0,0,0
chipped,0,0,0,0,0,0,0,0,1
chiraq,0,0,0,0,0,0,0,1,0
chitown,0,1,0,1,1,4,0,1,0
chitter,0,0,0,0,0,1,0,0,0
chloe,0,0,0,0,1,0,0,0,0
chlorine,0,0,2,0,0,0,0,0,0
chocolate,0,0,0,1,0,0,0,1,0
chocolatey,0,0,0,0,1,0,0,0,0
choicethey,0,0,0,0,0,0,0,0,1
choir,0,1,2,1,1,3,3,0,1
choke,0,1,0,0,1,0,0,0,0
choked,0,0,0,0,0,1,0,0,0
chokin,0,0,0,0,1,0,0,0,0
choos,0,0,0,0,1,0,0,0,0
choose,1,0,0,0,0,1,0,0,0
choosy,0,0,0,1,0,0,0,0,0
chop,0,0,0,0,0,0,1,0,0
choppa,0,0,0,0,0,0,1,0,0
chopped,0,0,0,0,0,0,0,1,1
chopra,0,0,0,0,0,0,0,1,0
chose,0,0,0,0,2,0,0,0,1
chosen,0,0,0,0,1,0,0,0,0
chris,0,1,0,0,1,0,1,0,0
christ,0,0,6,1,1,0,0,1,0
christian,0,1,2,0,1,0,1,0,1
christina,0,0,0,1,0,0,0,0,0
christlike,0,0,2,0,0,0,0,0,0
christmas,0,0,0,1,0,2,1,1,0
chrome,0,0,0,1,0,0,0,0,0
chromey,0,0,0,0,0,1,0,0,0
chronic,0,0,0,1,0,1,0,0,0
chrysler,0,0,0,0,1,0,0,0,0
chucky,0,0,0,0,1,0,0,0,0
church,0,1,0,3,0,1,2,1,0
churros,0,0,0,1,0,0,0,0,0
chyeah,0,0,0,1,0,0,0,0,0
chyna,0,0,0,0,0,0,1,0,0
cide,0,0,0,0,1,0,0,0,0
cigar,0,1,0,0,0,0,0,0,0
cigarette,0,0,0,1,0,2,0,0,0
cinnamon,0,0,0,0,0,1,0,0,0
cinque,0,0,0,0,0,1,0,0,0
circle,0,0,0,1,0,0,0,0,0
cirque,0,0,0,0,1,0,0,0,0
city,0,2,0,2,2,3,2,0,1
citygot,0,1,0,0,0,0,0,0,0
civil,0,0,0,0,1,0,0,1,0
cl,0,0,0,1,0,0,0,0,0
claim,0,1,0,3,0,2,0,0,0
claiming,0,0,0,1,2,0,0,1,0
clap,0,0,0,0,0,1,0,0,0
clappin,0,0,0,0,0,0,1,0,0
clapping,0,0,0,1,1,0,0,0,0
clashin,0,0,0,0,0,1,0,0,0
class,1,4,0,2,2,3,2,0,1
classic,0,0,0,1,1,1,0,0,0
clay,0,0,0,1,0,0,0,1,0
clean,0,0,4,0,0,1,0,1,0
cleaned,0,2,0,0,0,0,0,0,0
cleaner,0,0,0,0,0,1,0,0,0
clear,0,0,0,0,0,2,0,1,2
clearport,0,0,0,0,1,0,0,0,0
clemons,0,0,4,0,0,0,0,0,1
client,0,1,0,0,0,0,0,0,0
cliff,0,0,0,0,0,1,0,0,0
climate,0,0,0,0,1,0,0,1,0
climb,0,0,0,0,1,0,0,0,0
climbin,0,1,0,0,0,0,0,0,0
climbing,0,0,0,0,1,0,0,0,0
clinched,0,0,0,0,0,1,0,0,0
clinton,0,0,0,1,0,0,0,0,0
clip,0,0,0,0,0,1,0,0,0
clique,0,0,0,0,1,0,0,0,0
clive,0,0,2,0,0,0,0,0,0
clk,0,0,0,0,0,1,0,0,0
clock,0,0,0,0,1,0,0,0,0
close,0,3,4,2,0,0,0,3,1
closed,1,1,2,2,2,0,1,0,0
closest,0,0,0,1,0,0,1,0,0
closet,0,0,0,1,0,0,0,0,0
clot,0,0,0,1,0,1,0,0,0
clothes,1,4,0,1,0,3,1,4,0
clothing,0,0,0,1,0,0,0,0,0
cloud,1,1,0,1,0,0,0,0,0
clout,0,0,0,0,0,0,0,0,1
clown,0,0,0,1,0,0,0,0,0
club,0,3,0,2,0,5,1,2,1
clubbin,0,0,0,0,0,0,1,0,0
cmon,0,0,0,2,0,1,0,0,0
cnn,0,0,0,0,1,0,0,0,0
coach,0,0,0,0,2,0,1,0,0
coastin,0,0,0,0,0,0,1,0,0
coat,0,2,0,0,0,1,0,1,0
cocaine,0,0,0,0,0,1,0,2,0
cochran,0,0,0,1,0,0,0,1,0
cock,0,0,0,0,0,1,0,0,0
cockroach,0,0,0,0,1,0,0,0,0
cocococa,0,0,0,1,0,0,0,0,0
cocococacola,0,0,0,1,0,0,0,0,0
cocoming,0,0,0,1,0,0,0,0,0
code,1,1,0,0,1,0,1,0,0
codenames,0,0,0,0,1,0,0,0,0
cohen,0,0,0,0,1,0,0,0,0
coke,0,0,0,1,2,2,0,0,1
col,0,1,0,0,0,0,0,0,0
cola,0,0,0,1,0,0,0,0,0
cold,4,1,0,2,1,3,0,2,0
colder,0,0,0,0,0,0,0,1,0
coldest,2,0,0,0,0,0,0,0,0
coldplay,0,1,0,0,0,0,0,0,0
colin,0,0,0,0,1,0,0,0,0
collagen,0,1,0,0,0,0,0,0,0
collar,0,1,0,0,0,0,0,0,0
collection,0,0,0,0,1,0,0,0,0
college,0,0,0,0,0,6,1,0,1
cologne,0,0,0,0,0,1,0,0,0
color,0,0,0,1,2,1,0,0,1
colored,0,0,0,0,0,1,0,0,0
colossal,0,0,0,0,1,0,0,0,0
coma,0,0,0,0,0,0,0,1,0
comin,0,3,0,2,1,1,2,0,0
coming,0,0,0,1,2,2,1,0,0
commander,0,0,2,0,0,0,0,0,0
commandment,0,0,0,0,1,0,0,0,0
comment,0,0,0,0,0,0,1,0,1
committed,1,0,0,0,0,0,0,0,0
common,0,2,0,3,1,1,0,0,1
communion,0,0,0,0,0,1,1,0,0
community,0,0,0,0,0,1,1,0,0
company,0,1,0,1,0,1,0,0,0
compare,0,1,0,0,0,0,0,0,0
compared,0,1,0,0,0,0,0,1,0
comparin,0,0,0,0,1,0,0,0,0
compensate,0,0,0,0,0,0,0,0,1
competation,0,0,0,0,0,1,0,0,0
compilation,0,0,0,0,0,2,0,0,0
complacent,0,1,0,0,0,0,0,0,0
complain,1,0,0,1,0,1,0,0,0
complainin,0,0,0,1,0,0,1,1,0
complicated,0,0,0,0,0,1,0,0,0
composure,0,0,2,0,0,0,0,0,0
comprehend,0,0,0,0,0,0,0,0,1
con,0,0,0,1,0,0,0,0,0
concealin,0,0,0,0,0,1,0,0,0
concealing,0,0,0,1,0,0,0,0,0
concept,0,0,0,0,0,1,0,0,0
conception,0,0,0,0,1,0,0,0,0
concert,0,0,0,0,1,0,0,0,0
concrete,0,0,2,0,1,0,0,0,0
condition,0,0,0,0,0,0,1,0,0
condom,0,0,0,0,0,0,1,1,0
conference,0,0,0,0,0,1,0,0,0
confess,0,0,2,0,0,0,0,0,0
confidence,0,0,0,1,0,0,2,0,0
confined,0,0,0,0,0,1,0,0,0
confirmation,0,0,0,0,0,0,1,0,0
conflict,0,0,0,1,0,0,0,0,0
confuse,0,0,0,0,0,0,0,1,0
confused,1,1,0,0,0,1,0,0,0
congregation,0,0,0,0,1,0,0,0,0
connect,0,0,0,1,0,0,1,0,0
connects,0,0,0,1,0,0,0,0,0
connie,0,2,0,0,0,0,0,0,0
conquer,0,0,0,0,1,0,0,0,1
conscience,0,0,0,0,1,0,0,0,0
consequence,0,0,0,1,0,1,1,0,0
conservative,0,0,0,0,0,0,0,1,0
considered,0,0,0,0,1,0,0,0,0
consistent,0,0,0,0,0,1,0,0,0
console,0,0,0,1,0,1,0,0,0
consoling,0,0,0,0,1,0,0,0,0
constellation,0,0,0,0,1,0,0,0,0
consumer,0,0,0,0,0,0,1,0,0
consummation,0,0,0,0,1,0,0,0,0
contemplated,0,0,0,0,0,0,0,0,1
content,0,0,0,0,0,0,1,0,0
contest,0,0,0,0,0,1,0,0,0
continue,0,0,0,0,1,1,0,0,0
contract,0,0,0,0,0,0,0,1,0
control,3,0,0,1,1,1,3,3,0
controlling,0,0,0,0,0,1,0,0,0
conventional,0,0,0,0,0,0,1,0,0
conversation,0,0,2,0,1,0,0,0,0
converse,0,0,0,1,0,0,0,0,0
convert,0,0,0,0,0,1,0,0,0
converter,0,0,0,1,0,0,0,0,0
convertible,0,0,0,0,1,0,0,0,0
convinced,0,0,0,1,0,0,0,0,0
convincin,0,0,0,1,0,0,0,0,0
coogi,0,0,0,1,1,0,0,0,0
cook,0,0,0,3,0,1,2,0,0
cooke,0,0,0,1,0,0,0,0,0
cooked,0,0,0,1,0,0,0,0,0
cool,2,0,2,3,1,5,1,0,0
cooled,0,0,0,0,0,0,1,0,0
coon,0,0,0,0,0,0,0,1,0
cop,0,0,0,3,4,2,1,0,0
copped,0,1,0,1,1,3,3,0,0
coppin,0,1,0,0,1,1,0,0,0
coproduced,0,0,0,0,3,0,0,0,0
corey,0,0,0,0,0,0,0,0,1
corner,0,0,0,2,1,0,0,0,0
corny,0,0,0,0,1,0,1,0,0
corolla,0,0,0,0,0,0,0,1,0
corona,0,1,0,0,0,0,0,0,0
coroner,0,0,0,0,1,0,0,0,0
corporation,0,0,0,0,0,0,0,1,0
correct,0,0,0,1,0,0,0,0,0
cosa,0,0,0,0,0,0,0,1,0
cosby,0,0,0,0,0,0,1,0,0
cosbys,0,1,0,0,0,0,0,0,0
cost,0,1,0,0,0,1,0,0,0
costume,0,0,0,0,0,0,1,0,0
cotton,0,0,0,0,0,0,1,1,0
couch,0,0,0,0,0,0,1,1,0
coulda,0,0,0,0,0,2,0,0,0
couldve,0,0,2,1,0,0,0,1,0
count,0,0,0,1,1,2,0,0,0
counting,0,0,0,0,1,1,0,0,0
country,0,0,0,0,1,0,1,1,0
county,0,0,0,0,1,0,0,0,0
coupe,0,0,0,0,0,1,0,0,0
couple,1,1,0,1,0,3,1,0,0
coupon,0,0,0,0,0,1,0,0,0
court,0,0,0,0,1,0,1,2,1
courtside,0,0,0,0,0,0,0,1,0
cousin,0,0,0,2,0,1,2,0,1
couture,0,1,0,0,0,0,0,0,0
cover,0,0,4,0,2,3,2,0,1
coworkers,0,0,0,0,0,1,0,0,0
cpr,0,0,0,0,1,0,0,0,0
crack,0,0,0,2,1,7,0,1,0
cracked,1,1,0,0,0,0,0,0,0
crackhead,0,0,0,0,0,1,0,0,0
cranberry,0,0,0,0,0,0,0,1,0
crane,0,0,0,0,1,0,0,0,0
cranked,0,0,0,1,0,0,0,0,0
cranny,0,0,0,1,0,0,0,0,0
crash,0,0,2,0,0,2,1,1,0
crashed,0,1,0,0,0,0,2,0,0
crashlands,1,0,0,0,0,0,0,0,0
crawling,0,0,0,1,0,0,0,0,0
crayist,0,0,0,0,0,0,0,1,0
crazier,0,0,0,0,0,0,1,0,0
craziness,0,0,0,0,0,1,0,0,0
crazy,2,2,0,2,3,3,3,1,1
crazycrazy,1,0,0,0,0,0,0,0,0
creative,0,0,0,0,0,1,0,0,0
creativity,0,0,0,0,1,0,0,0,0
creator,0,0,0,0,0,0,1,0,0
credibly,0,0,0,1,0,0,0,0,0
credit,0,0,0,0,1,0,1,0,0
cree,0,0,0,0,0,1,0,0,0
creeped,0,1,0,0,0,0,0,0,0
cremate,0,0,0,0,1,0,0,0,0
crew,0,0,0,0,1,0,0,1,0
crib,1,3,2,3,2,2,0,0,0
crime,0,1,0,2,0,1,1,0,0
crip,0,0,0,0,1,0,0,0,0
cris,0,0,0,1,0,0,0,0,0
cristal,0,0,0,1,0,1,0,0,0
criticism,0,0,2,0,0,0,0,0,0
croissant,0,0,0,0,0,0,0,1,0
crooked,0,0,2,1,0,0,0,0,0
crossed,0,0,0,1,2,0,0,0,0
crosswind,0,0,0,1,0,0,0,0,0
crotch,0,0,0,0,1,0,0,0,0
crowd,0,3,0,0,1,0,0,0,0
crowded,0,0,0,0,1,0,0,0,0
crowdsource,0,0,0,0,0,0,1,0,0
crown,0,0,0,0,0,0,0,0,1
cruel,0,0,0,0,1,0,0,0,0
cruise,1,0,0,0,1,1,0,0,0
crunch,0,0,0,0,0,1,1,0,0
cry,0,0,0,2,0,0,2,0,2
cryin,1,0,0,2,0,0,1,0,0
cub,0,0,0,0,0,0,0,0,1
cube,0,0,0,0,0,0,0,0,1
cudder,0,0,0,0,0,0,1,0,0
cudi,2,0,0,0,2,0,3,1,2
cuff,0,0,0,0,1,0,0,0,0
cuffed,0,0,0,0,0,1,0,0,0
culture,0,0,2,0,0,0,0,0,0
cum,0,0,0,0,1,0,0,0,1
cup,0,0,4,0,1,1,0,0,0
curb,0,0,0,1,0,0,0,0,0
cure,0,0,0,2,0,0,0,0,0
curious,0,1,0,1,0,0,0,0,0
curl,0,0,0,1,0,0,0,0,0
currency,0,1,0,0,0,0,0,0,0
curriculum,0,0,0,0,0,1,0,0,0
curve,0,0,0,0,0,0,0,0,1
custody,0,0,0,0,1,0,0,0,0
custom,0,0,0,1,0,0,0,0,0
cut,2,2,2,1,0,3,0,2,0
cute,0,0,0,0,1,0,0,0,0
cutie,0,0,0,1,0,0,1,0,0
cuttin,0,0,0,0,0,0,0,0,1
cuz,0,0,0,0,0,3,0,0,0
cyhi,0,0,0,0,1,0,1,0,0
cylinder,0,0,0,1,0,0,0,0,0
cypher,0,0,0,0,1,0,0,0,0
da,0,1,0,0,0,0,1,1,0
daa,0,0,0,0,0,0,1,0,0
dad,1,0,2,0,1,1,1,0,0
dada,0,1,0,0,0,0,0,0,0
dadd,0,1,0,0,0,0,0,0,0
daddy,0,0,0,1,1,2,3,1,1
daft,0,1,0,0,0,0,0,4,0
dag,0,0,0,1,0,0,0,0,0
daily,0,0,0,1,1,0,0,0,0
daisy,0,1,0,0,0,0,0,0,0
damage,0,0,0,0,1,0,1,0,0
damaged,0,0,2,0,0,0,0,0,0
damaging,0,0,0,0,0,0,1,0,0
dame,0,1,0,2,0,3,0,0,0
damn,0,7,0,5,3,5,3,4,1
dance,0,2,0,4,3,0,0,0,0
danced,0,0,0,0,0,1,0,0,0
danchild,0,0,0,0,0,0,0,1,0
dancin,0,1,2,0,0,1,1,1,0
dancing,0,1,0,1,0,0,0,1,0
danger,1,0,0,0,0,0,0,0,1
dangerous,0,1,0,0,0,0,0,0,0
daniel,0,0,0,0,0,0,0,0,1
danny,0,0,0,0,0,0,1,0,0
dark,0,1,4,2,1,0,1,1,0
darkest,0,0,0,0,0,0,0,0,1
darkness,0,0,2,0,0,0,0,0,0
darkskinned,0,0,0,0,0,1,0,0,0
darn,0,0,0,0,0,0,1,0,0
dash,0,0,0,0,0,1,0,0,0
dating,0,0,0,0,0,1,0,0,0
datsun,0,0,0,1,0,0,0,0,0
daughter,1,0,4,1,2,2,4,0,1
dave,0,0,0,0,0,1,0,0,0
david,0,0,0,0,1,0,1,1,0
davis,0,0,0,0,0,2,0,0,0
dawg,0,0,0,4,0,3,1,0,0
dawgs,0,0,0,0,0,1,0,0,0
dawson,0,0,0,0,1,0,1,0,0
day,2,4,0,14,6,8,5,3,3
dayton,0,0,0,1,0,0,0,0,0
daze,0,0,0,0,0,1,0,0,0
dc,0,1,0,1,0,0,0,0,0
dcfs,0,0,0,0,0,1,0,0,0
ddot,0,0,0,0,0,1,0,0,0
de,0,0,0,0,1,0,0,0,0
dea,0,0,0,0,0,0,0,1,0
dead,0,0,2,1,4,4,0,1,1
deadbeat,0,0,0,0,0,0,1,0,0
deaf,0,0,0,0,0,1,0,0,0
deal,0,1,0,1,0,2,1,1,0
dealer,0,0,0,2,1,2,0,0,0
dealership,0,0,0,1,0,1,0,0,0
dealin,0,0,0,0,0,2,0,0,1
dealing,0,0,0,0,0,0,1,0,0
dealt,0,0,0,2,0,1,0,0,0
dean,0,2,0,0,8,0,3,9,0
death,1,1,2,1,2,2,0,1,1
debarge,0,0,0,0,0,0,2,0,0
debris,0,0,0,1,0,0,0,0,0
debt,0,1,0,0,0,0,2,0,1
december,0,0,0,1,0,0,1,0,0
decide,1,1,0,0,1,0,0,0,0
decided,1,0,0,0,0,1,0,0,0
decimal,0,0,2,0,1,0,0,0,0
decipher,0,0,0,0,0,0,1,0,0
decision,0,0,0,0,1,0,0,0,0
declare,0,0,0,0,1,0,0,0,0
declined,0,0,0,0,1,0,0,0,0
dedication,0,0,0,0,0,1,0,0,0
deebo,0,0,0,0,0,0,0,0,1
deep,0,1,0,0,0,1,3,0,0
deepak,0,0,0,0,0,0,0,1,0
def,0,2,0,0,0,2,0,0,0
defend,0,0,0,0,0,0,0,0,1
defendin,0,0,2,0,0,0,1,0,0
degrade,0,0,0,0,0,1,0,0,0
degree,1,0,0,1,0,3,0,0,0
deity,0,0,2,0,0,0,0,0,0
del,0,0,0,0,0,0,1,0,0
delight,0,1,0,0,0,0,0,0,0
delirious,0,0,0,0,0,1,0,0,0
deliver,0,0,0,0,0,0,1,0,0
deliverin,0,0,0,0,0,0,1,0,0
delorean,0,1,0,0,0,0,0,0,0
delta,0,0,0,1,0,2,0,0,0
dem,0,0,0,0,0,0,0,3,0
demise,0,0,0,1,0,0,0,0,0
demo,0,0,0,1,0,1,0,0,0
democracy,0,0,0,0,1,0,0,0,0
demon,0,0,4,0,1,0,1,1,1
denamuhh,0,0,0,0,0,1,0,0,0
